Earth  #  Normal  #  Has sea
Красивая планета  #  Красивый  #  Очень красиво
Луна  #  Отсутствует  #  Низкая гравитация
Луна  #  Отсутствует  #  Отсутствует атмосфера
Арракис  #  Пустынный  #  Богатая ресурсами
Арракис  #  Пустынный  #  Гостеприимные жители
Арракис  #  Пустынный  #  Заботящееся правительство
Арракис  #  Пустынный  #  Песчаные черви
Айур  #  Умеренный  #  Гостеприимные жители
Айур  #  Умеренный  #  Есть море
Земля  #  Умеренный  #  Есть море
Айур  #  Умеренный  #  Развитая инфраструктура
Земля  #  Умеренный  #  Развитая инфраструктура
Венера  #  Экстремальный  #  Кислотные дожди
Венера  #  Экстремальный  #  Сильный ветер
